,weight_shap_0_mean,weight_shap_0_std,weight_grad_0_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
ITGAM,1.2939862038059002e-05,3.07505795209077e-05,-1.3895446000000002e-05,2,3.881782599877588e-05,0.8120633531559164,True,False,False,False,False
PRRX2,1.6242830441909e-05,6.240462592849688e-05,1.3206341999999999e-05,2,0.000966734927039,1.4409638130103852,True,False,False,True,True
LIN9,1.4014016820126e-05,2.9217514716705186e-05,1.85761315e-05,2,0.0005440483258299,1.2897978889128074,True,False,False,False,False
KIF23,1.4520222378801e-05,8.338431058999394e-05,1.4152676e-05,2,7.497590611810045e-06,1.2693238244536642,True,False,False,True,False
TMC8,1.2224830821928e-05,7.59270747385691e-05,-1.04928628e-05,2,5.630113106605431e-06,0.8113693085176603,True,False,False,False,False
NME5,2.3093477920801e-05,0.00010219784619316962,-1.7062932e-05,2,7.486588190414983e-06,0.3394632858401589,True,False,False,False,False
SLC4A4,2.5138096234341997e-05,0.0001637875934154645,-1.4176351e-05,2,0.0003953623802998,0.5320563128865885,True,False,False,False,False
DBH-AS1,1.3736438259759999e-05,4.584474679284351e-06,-1.04155816e-05,2,0.0005953239372963,0.6487944749810011,True,False,False,False,False
RASGRP2,1.2881795112238e-05,4.7696306240347505e-05,1.38303314e-05,2,0.0013610112535406,0.7747540209917415,True,False,False,False,False
IL1B,1.1136974962352e-05,5.457767963608128e-05,1.1402331000000005e-06,2,0.0174888127873093,1.2601131891840849,True,False,False,False,False
CD33,1.5708993765442e-05,4.084474785779282e-05,-1.2850264599999999e-05,2,0.0002146314195922,0.7377914862216943,True,False,False,False,False
NLRC3,1.1548426398097998e-05,2.665850229405021e-05,-1.1904106300000001e-05,2,0.0006225815901116,0.7936181381644736,True,False,False,False,False
PBK,1.5546132664309998e-05,0.00011101343379917426,9.3358465e-06,2,0.0004334713260827,1.4448089916262488,True,False,False,False,False
SCIMP,1.3662527620065999e-05,0.00011200304229299433,-1.45151571e-05,2,0.000225120114686,0.7295808649025456,True,False,False,False,False
PIK3CG,1.1603578707088e-05,1.757512550176124e-05,-1.2317580500000002e-05,2,0.0010539177270262,0.7550708946024031,True,False,False,False,False
ZC3H12D,1.433721298453e-05,2.0256110196914233e-05,-1.2008234e-05,2,0.001899217649891,0.7620391427616985,True,False,False,False,False
HLF,2.0827602176831002e-05,1.8950315182191506e-05,-8.9569115e-06,2,0.0040448910982464,0.6802665923318956,True,False,False,False,True
