,weight_shap_total_mean,weight_shap_total_std,weight_grad_total_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
ADORA1,1.2701505913204e-05,0.0,-5.5601663e-06,1,8.399470614068442e-06,0.51937143009916,True,False,False,False,False
NCAPH,7.050813522973e-06,0.0,7.240092e-06,1,0.0002146314195922,1.2452315298782617,True,False,False,False,False
BRCA2,6.410181190394e-06,0.0,6.536237e-06,1,0.0076287051964954,1.2107572324806744,True,False,False,False,False
NFAM1,7.164998900809e-06,0.0,-6.6645385e-06,1,0.0005441094208326,0.8137011972177597,True,False,False,False,False
DBH-AS1,6.441829614639e-06,0.0,-4.789397e-06,1,0.0005953239372963,0.6487944749810011,True,False,False,False,False
RASGRP2,6.428281526286e-06,0.0,5.9952170000000005e-06,1,0.0013610112535406,0.7747540209917415,True,False,False,False,False
SELPLG,6.895390683856999e-06,0.0,-4.82819e-06,1,0.0001456446685297,0.8195537296599729,True,False,False,False,False
BUB1B,5.328521905925999e-06,0.0,4.7581882e-06,1,0.0004140317632362,1.255733692234094,True,False,False,False,False
LIN9,7.041772876023e-06,0.0,7.305858e-06,1,0.0005440483258299,1.2897978889128074,True,False,False,False,False
S1PR4,6.045053448633e-06,0.0,-4.521115e-06,1,0.0006225815901116,0.6801784265956746,True,False,False,False,False
CCNB2,6.736581647611e-06,0.0,6.133222e-06,1,3.312136903548156e-05,1.2137587387772446,True,False,False,False,False
AKNA,6.083785128743e-06,0.0,-4.486192e-06,1,2.9607038181439545e-06,0.8273640507179996,True,False,False,False,True
FSCN1,1.2961609444904998e-05,0.0,-6.478394e-06,1,1.6408132589497815e-05,1.2367575252097134,True,False,False,False,False
BRIP1,7.44719666983e-06,0.0,5.610613e-06,1,0.004045213241699,1.229409440341641,True,False,False,False,False
STON2,1.0133541965708e-05,0.0,5.902915e-06,1,1.2829277286482288e-07,1.4254006207765546,True,False,False,True,False
NCF1C,5.933328867593e-06,0.0,5.283987999999999e-06,1,0.0339204876032144,0.8163606160899027,True,False,False,False,False
APOBR,7.735808881103e-06,0.0,-6.704898599999999e-06,1,0.0001256435696189,0.8015066846072058,True,False,False,False,False
ITK,5.859411720608001e-06,0.0,-4.1477653e-06,1,0.0158334900924143,0.8114254501616578,True,False,False,False,False
LRRC25,6.235874500087e-06,0.0,-6.486816e-06,1,0.0001195731229132,0.8125144465644474,True,False,False,False,False
HMMR,8.343137643257e-06,0.0,7.628696e-06,1,0.0180733492046047,1.2061726142159284,True,False,False,False,False
CD37,5.615774552801001e-06,0.0,-4.7109579999999996e-06,1,0.0001606051607746,0.82793658422201,True,False,False,False,False
CD27,6.954163296473e-06,0.0,-6.1040843e-06,1,0.0079114051499001,0.7779339802854468,True,False,False,False,False
ABI3,5.570690522841e-06,0.0,-6.5511520000000004e-06,1,0.0001456446685297,0.8102826162795946,True,False,False,False,False
RRM2,7.926058904344e-06,0.0,6.1559404e-06,1,0.0007436426626895,1.2105359705607406,True,False,False,True,False
MCM10,6.520718683144e-06,0.0,5.460448000000001e-06,1,0.0001029787265937,1.3083622734531164,True,False,False,True,False
CENPA,6.522680293289e-06,0.0,4.2703204e-06,1,0.004045213241699,1.279968042900451,True,False,False,False,True
SLAMF8,6.308698368479001e-06,0.0,-6.599832e-06,1,0.0032030999104575,0.8328605892051318,True,False,False,False,False
FAM78A,8.386664214274e-06,0.0,-8.373267500000001e-06,1,0.000966734927039,0.8097547562652946,True,False,False,False,False
SLC2A1,9.328691781854e-06,0.0,-6.6244570000000006e-06,1,7.774952636209425e-07,1.2108031224361997,True,False,False,False,False
SCIMP,7.088146866553e-06,0.0,-6.139649e-06,1,0.000225120114686,0.7295808649025456,True,False,False,False,False
