,weight_shap_1_mean,weight_shap_1_std,weight_grad_1_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
KRT1,0.0019734574313351066,0.00044622179908617566,0.0006904071518999997,100,1.4368483255194766e-07,11.1121262996867,True,False,False,True,False
CLCA2,0.0027442925260324253,0.0010301002132797792,0.0004454587581699998,98,1.0098273283759582e-09,3.946231928700852,True,False,False,False,False
KRT6B,0.003093314610257309,0.001116934167868565,0.00050070702034,98,6.86756577132472e-10,4.042990797539639,True,False,False,True,False
TP63,0.0013981311540953118,0.0007179555451385412,0.00026972636945299996,93,1.763245757306271e-08,2.0991617011677204,True,False,True,True,True
GNGT1,0.001033257331208153,0.00026817726193093856,0.0005871794027000001,92,9.432099522060368e-07,2.9528160488584008,True,False,False,False,False
IL1A,0.0014951348242055985,0.00046560299538899,0.00047157873909999996,91,2.070115589318595e-06,2.748154942367739,True,False,False,False,False
SOX2,0.0009400429041459528,0.00046170765948023437,0.0002727156690200001,91,0.0056884252590584,1.529507076398206,True,False,True,True,True
KRT14,0.002372205062751906,0.0008674074813130245,0.00037211604405000017,89,6.051932084326385e-07,3.053512759552908,True,False,False,True,False
DLX5,0.0009916112013751003,0.00043202432139374553,0.0003752713230000001,87,1.5303569878952464e-06,2.8729798351432136,True,False,False,False,True
KRT5,0.0021831213031130374,0.0010455486414409267,0.00030978242715400003,86,8.648498750974937e-09,2.8441465257998937,True,False,False,False,False
BNC1,0.001501588414514841,0.0005383284685861028,0.00041241905646000006,85,3.5690013851023204e-09,6.1624982600365135,True,False,False,False,True
HR,0.0013946381675355637,0.0005602398294115576,0.00030469551062,81,6.891043165363284e-10,2.9438231923534497,True,False,False,False,False
S1PR5,0.0011129724933282503,0.0003460478523144552,0.0004050584212000001,80,2.7116322393487547e-10,3.0757469286795174,True,False,False,False,False
PAX6,0.000684837624597407,0.00021974120282676287,0.0004794552908,78,5.719428444111568e-06,4.864270701116624,True,False,False,True,True
CRCT1,0.0012007778179880517,0.00037741687203159726,0.0003932963868999999,78,1.0255205533254245e-07,26.93120962565445,True,False,False,False,False
KRT16,0.0012391387179922838,0.0006818204900260823,0.00023034240824000002,76,3.1139889700783184e-09,2.338714429368393,True,False,False,False,False
NKX2-1,0.0009619772584181113,0.0005172977598751693,-0.00016187651017999998,76,8.033707655437306e-10,0.3594758939438399,True,False,True,True,True
SERPINB5,0.0009439107816668952,0.0005311581185358526,0.00020732503887999998,71,1.008813833962271e-09,2.897127085561905,True,False,False,True,False
CSTA,0.0009535049911967692,0.0004506294564398396,0.00022330759944,64,1.0722117684738927e-08,2.4952312198359192,True,False,False,True,False
SERPINB13,0.0010030116972283508,0.0005508717135257206,0.00018601224537999995,62,7.063250362658053e-10,12.298832938956634,True,False,False,False,False
TRIM29,0.000858741635899013,0.0005787079335389846,0.00017824873542,59,3.4303718449554055e-10,2.3217268845008,True,False,False,True,False
SFTA3,0.0006534613659715858,0.00033569759982389236,-0.000164993530208,57,1.836908578558539e-09,0.2697684028935488,True,False,False,False,False
KRT6A,0.0008835309802408782,0.0005823973759503933,0.000108922893897,56,9.984240256524031e-09,2.0137275541935624,True,False,False,True,False
S100A8,0.0010718127444053858,0.00047319712862132254,0.0002240143809,53,7.082134207676587e-06,1.987853057835059,True,False,False,True,False
SLC34A2,0.000623193237056818,0.0004859977662817155,-7.5603656496e-05,53,2.335139556425707e-08,0.5645887840747011,True,False,False,True,False
FOXC1,0.00026619206396538193,0.0001885875677676324,8.709376230000001e-05,51,0.0045375874840273,1.2945094661737633,True,False,False,False,True
HNF1A,0.000217042210104262,5.766078331840882e-05,-0.0003330213557999999,48,0.0067288143755985,0.1956523474222007,True,False,False,False,True
C16orf89,0.0005057259058382541,0.0003328351519905294,-0.00010572730594000003,43,8.047478395025843e-09,0.329821796834001,True,False,False,False,False
CAPN8,0.0005786280117427569,0.00039638697244519445,-0.00012670064933999995,43,1.1231667162426193e-07,0.4627798951694934,True,False,False,False,False
FOXA2,0.000250170576682339,0.00017065419463167426,-6.169236259e-05,42,8.624481495962506e-05,0.5558544502505584,True,False,True,True,True
AR,0.000219782858630979,0.00020387750124481913,-0.00011325530207000002,41,0.002626759607243,0.6902907409052468,True,False,False,False,True
NAPSA,0.0004944902910607629,0.00042764284172281026,-3.094612319000001e-05,37,2.335139556425707e-08,0.4963487980579199,True,False,False,True,False
FOXA1,0.00017162484206106703,0.0001460536003682364,2.7993445360000006e-05,35,0.00141958265805,0.7587825747285102,True,False,False,True,True
FOXJ1,0.000278360841229757,0.00017414037103287192,9.576064479999998e-06,34,2.401394852260501e-05,0.4665153849802383,True,False,False,False,True
FOSL1,0.00019896031730405207,0.0001937594424927185,4.384183014e-05,33,0.0002853897982563,1.4183888550577708,True,False,False,True,True
STK32A,0.00035557504055610894,0.00039232794143575627,-0.00011667354964999999,30,4.995142350506248e-08,0.3988502125659358,True,False,False,False,False
FMO5,0.000251371215106299,0.000216490759476959,-8.904245770000002e-05,28,1.1231667162426193e-07,0.5133223014024398,True,False,False,False,False
IRF6,0.00019520013744129898,0.0001851787320555976,3.5672735959999994e-05,27,5.90749187239326e-10,1.3742499880705137,True,False,False,False,True
ITGA6,0.00023715177333938502,0.00019815286385937005,4.9722805709999996e-05,27,3.609462953121905e-09,1.4528659669267936,True,False,False,True,False
SPI1,0.000122379693838683,0.00012637914509322165,-8.213749304e-05,26,2.977508512439828e-05,0.8329074337857636,True,False,False,False,True
DENND2C,0.00029610986352040597,0.00021783738191516493,0.00012621487440000003,24,3.429160633364429e-10,2.077782226143836,True,False,False,False,False
TFAP2A,9.7333024340302e-05,0.00011729477528276899,2.3839880009999997e-05,22,5.890195137966788e-05,1.2737540376566714,True,False,False,False,True
ESR1,0.000106602938167621,0.00016659726368001255,-4.443634223000001e-05,21,0.0025235893254842,0.7152901667237337,True,False,False,False,True
JAG1,0.00019549120095902498,0.00027089917686875625,7.233012994e-05,21,2.684980851854065e-09,1.3808207770653615,True,False,False,True,False
BATF,0.00010509097184430199,9.43286571843933e-05,-5.3457314269999984e-05,20,7.608993291334454e-05,0.7421377915828952,True,False,False,False,True
LRRK2,0.00014673829717451,0.00019141595509459132,-6.692512025000001e-05,20,0.0003604874176205,0.6644097104636193,True,False,False,False,False
CCR2,0.000150343219717218,0.00014381576489063796,-9.642834360000002e-05,20,0.0004970240039701,0.673116260382836,True,False,False,False,False
HNF4G,0.00010849832010497599,9.392299150000287e-05,-9.478034130000003e-05,19,0.0060101143553423,0.6662691151112338,True,False,False,False,True
FXYD3,0.00021937155594078703,0.00015128097735220587,7.33356055e-05,19,3.7967313912406946e-08,1.4375485548215097,True,False,False,True,False
SFN,0.000187885045586235,0.00016339534902414193,5.5084990800000004e-05,19,2.6849628775262773e-08,1.3074986768678225,True,False,False,True,False
FGFR3,0.00012940577314794202,0.00015510111600779575,-3.74661426e-05,19,0.0004970240039701,1.4084020097168808,True,False,False,True,False
PERP,0.000162727725508406,0.00020802425988813566,1.8422293000000006e-05,18,2.140698889581249e-10,1.3489978007401735,True,False,False,True,False
HNF1B,0.00018864771900735302,0.00013180161682132006,-6.868007505e-05,18,1.4525343821948745e-07,0.2445954439441767,True,False,False,True,True
NFE2,7.9347960300576e-05,8.387132786897788e-05,-4.238622087e-05,16,0.0013610112535406,0.6392618671031604,True,False,False,False,True
KLF5,8.894387234872599e-05,8.4119203810252e-05,2.15292886e-05,15,3.973700717475723e-06,1.2512201050135416,True,False,False,False,True
KLF4,7.109363716876301e-05,0.00010543991352759904,2.1192778209999998e-05,15,1.9492970234159195e-06,1.2917787645366183,True,False,False,False,True
SNAI2,0.00010375731614197501,0.00024263098622035354,-8.79609305e-06,14,5.334821376791423e-07,1.47150777861028,True,False,False,True,True
ARHGEF38,0.000134774358407194,0.00017266997221863616,-3.8748575399999995e-05,14,6.128237189403319e-08,0.4531031192058106,True,False,False,False,False
BCL11B,0.00010970733011651398,0.00014373643637715205,4.888813880000001e-05,14,7.608993291334454e-05,1.4012953794472771,True,False,False,False,True
HOXD9,0.00012689687785968798,9.812726104193601e-05,6.937592e-05,14,4.533875371497339e-05,2.1055955984035237,True,False,False,False,True
GNA14,0.000102097414496824,0.00013035717918950354,-3.5180041760000004e-05,13,1.426123661368692e-08,0.4683373537361586,True,False,False,False,False
TTK,8.444862978180201e-05,0.00013481150888614376,5.3317848850399996e-05,13,7.497590611810045e-06,1.45320807987184,True,False,False,False,False
FGD2,7.418706320534099e-05,0.00014569207435057732,-5.0510677900000006e-05,11,2.2758353052752264e-05,0.792584885698146,True,False,False,False,False
WDFY4,6.9227150470364e-05,0.00014520542072975825,-4.041156430000001e-05,10,8.421283513601903e-05,0.7860016037299027,True,False,False,False,False
BTK,5.578477844146299e-05,8.04179107392208e-05,-2.85219919e-05,10,0.0016095248497862,0.8038147160419249,True,False,False,False,False
CIITA,7.509878779565299e-05,0.00019355947914858495,-3.9749157099999996e-05,10,4.138344108455461e-07,0.7741078563202204,True,False,False,False,False
ARRB1,8.190280893915899e-05,0.00013271009557279707,-3.47065424e-05,10,1.8488679371674887e-09,0.704999419544769,True,False,False,False,False
KLF15,6.5538518650358e-05,0.00011557958210738882,5.11549569e-05,10,0.0163692722581529,0.6559671483882514,True,False,False,False,True
NR2F1,5.9562112346719e-05,0.00016418176869404896,1.84845984e-05,10,9.949127444404357e-06,0.7230547149301071,True,False,False,False,True
HMGA2,0.000134904956404799,0.00017595619617773774,4.3393129700000004e-05,10,0.0007771511194047,1.6170487147494472,True,False,False,True,True
